Pos_x Pos_y Pos_z n_x n_y n_z
1.060e+02 3.593e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.161e+02 2.336e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.296e+02 3.831e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
5.583e+01 1.484e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.036e+02 9.850e+00 6.000e+02 0.000e+00 0.000e+00 1.000e+00
8.354e+01 2.267e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
8.646e+01 1.227e+02 0.000e+00 0.000e+00 0.000e+00 1.000e+00
7.675e+01 1.262e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
2.475e+01 3.464e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.343e+02 1.079e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
9.624e+01 5.979e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
6.590e+01 5.708e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
6.199e+01 2.559e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.127e+02 7.682e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
6.648e+01 9.235e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.403e+02 8.291e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.011e+02 5.904e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.394e+02 5.980e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.143e+02 1.355e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
7.924e+01 8.462e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.265e+02 7.031e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.100e+02 1.501e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.601e+02 3.800e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.109e+02 9.731e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
3.209e+01 4.265e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.024e+02 1.222e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
8.861e+01 1.370e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
8.428e+01 1.147e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.163e+02 1.558e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
5.373e+01 3.210e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
9.184e+01 1.566e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.618e+02 1.445e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.278e+02 4.824e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
8.473e+01 5.022e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
6.305e+01 5.378e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.826e+02 1.798e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.641e+02 3.866e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.861e+02 7.375e+00 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.257e+02 4.912e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
